Battalion,Watch Date,Incident Number,Call Type Group
B01,01/01/2019 12:00:00 AM,814,Alarm
B01,01/01/2019 12:00:00 AM,48,Fire
B01,01/01/2019 12:00:00 AM,622,Non Life-threatening
B01,01/01/2019 12:00:00 AM,984,Potentially Life-Threatening
B01,02/01/2019 12:00:00 AM,787,Alarm
B01,02/01/2019 12:00:00 AM,47,Fire
B01,02/01/2019 12:00:00 AM,554,Non Life-threatening
B01,02/01/2019 12:00:00 AM,1105,Potentially Life-Threatening
B01,02/01/2019 12:00:00 AM,14,
B01,03/01/2019 12:00:00 AM,663,Alarm
B01,03/01/2019 12:00:00 AM,78,Fire
B01,03/01/2019 12:00:00 AM,670,Non Life-threatening
B01,03/01/2019 12:00:00 AM,1214,Potentially Life-Threatening
B01,03/01/2019 12:00:00 AM,78,
B01,04/01/2019 12:00:00 AM,730,Alarm
B01,04/01/2019 12:00:00 AM,133,Fire
B01,04/01/2019 12:00:00 AM,619,Non Life-threatening
B01,04/01/2019 12:00:00 AM,1046,Potentially Life-Threatening
B01,04/01/2019 12:00:00 AM,47,
B01,05/01/2019 12:00:00 AM,810,Alarm
B01,05/01/2019 12:00:00 AM,55,Fire
B01,05/01/2019 12:00:00 AM,624,Non Life-threatening
B01,05/01/2019 12:00:00 AM,1271,Potentially Life-Threatening
B01,05/01/2019 12:00:00 AM,12,
B01,06/01/2019 12:00:00 AM,822,Alarm
B01,06/01/2019 12:00:00 AM,95,Fire
B01,06/01/2019 12:00:00 AM,626,Non Life-threatening
B01,06/01/2019 12:00:00 AM,1205,Potentially Life-Threatening
B01,06/01/2019 12:00:00 AM,3,
B01,07/01/2019 12:00:00 AM,722,Alarm
B01,07/01/2019 12:00:00 AM,76,Fire
B01,07/01/2019 12:00:00 AM,659,Non Life-threatening
B01,07/01/2019 12:00:00 AM,1105,Potentially Life-Threatening
B01,07/01/2019 12:00:00 AM,5,
B01,08/01/2019 12:00:00 AM,833,Alarm
B01,08/01/2019 12:00:00 AM,73,Fire
B01,08/01/2019 12:00:00 AM,675,Non Life-threatening
B01,08/01/2019 12:00:00 AM,1161,Potentially Life-Threatening
B01,08/01/2019 12:00:00 AM,9,
B01,09/01/2019 12:00:00 AM,874,Alarm
B01,09/01/2019 12:00:00 AM,95,Fire
B01,09/01/2019 12:00:00 AM,661,Non Life-threatening
B01,09/01/2019 12:00:00 AM,1267,Potentially Life-Threatening
B01,09/01/2019 12:00:00 AM,2,
B01,10/01/2019 12:00:00 AM,856,Alarm
B01,10/01/2019 12:00:00 AM,55,Fire
B01,10/01/2019 12:00:00 AM,754,Non Life-threatening
B01,10/01/2019 12:00:00 AM,1373,Potentially Life-Threatening
B01,10/01/2019 12:00:00 AM,6,
B01,11/01/2019 12:00:00 AM,872,Alarm
B01,11/01/2019 12:00:00 AM,49,Fire
B01,11/01/2019 12:00:00 AM,598,Non Life-threatening
B01,11/01/2019 12:00:00 AM,1224,Potentially Life-Threatening
B01,11/01/2019 12:00:00 AM,2,
B01,12/01/2019 12:00:00 AM,986,Alarm
B01,12/01/2019 12:00:00 AM,63,Fire
B01,12/01/2019 12:00:00 AM,755,Non Life-threatening
B01,12/01/2019 12:00:00 AM,1480,Potentially Life-Threatening
B01,12/01/2019 12:00:00 AM,4,
B02,01/01/2019 12:00:00 AM,969,Alarm
B02,01/01/2019 12:00:00 AM,85,Fire
B02,01/01/2019 12:00:00 AM,1229,Non Life-threatening
B02,01/01/2019 12:00:00 AM,2491,Potentially Life-Threatening
B02,02/01/2019 12:00:00 AM,918,Alarm
B02,02/01/2019 12:00:00 AM,72,Fire
B02,02/01/2019 12:00:00 AM,1258,Non Life-threatening
B02,02/01/2019 12:00:00 AM,2521,Potentially Life-Threatening
B02,02/01/2019 12:00:00 AM,38,
B02,03/01/2019 12:00:00 AM,858,Alarm
B02,03/01/2019 12:00:00 AM,85,Fire
B02,03/01/2019 12:00:00 AM,1388,Non Life-threatening
B02,03/01/2019 12:00:00 AM,2660,Potentially Life-Threatening
B02,03/01/2019 12:00:00 AM,185,
B02,04/01/2019 12:00:00 AM,1127,Alarm
B02,04/01/2019 12:00:00 AM,57,Fire
B02,04/01/2019 12:00:00 AM,1262,Non Life-threatening
B02,04/01/2019 12:00:00 AM,2861,Potentially Life-Threatening
B02,04/01/2019 12:00:00 AM,97,
B02,05/01/2019 12:00:00 AM,814,Alarm
B02,05/01/2019 12:00:00 AM,99,Fire
B02,05/01/2019 12:00:00 AM,1410,Non Life-threatening
B02,05/01/2019 12:00:00 AM,2761,Potentially Life-Threatening
B02,05/01/2019 12:00:00 AM,20,
B02,06/01/2019 12:00:00 AM,958,Alarm
B02,06/01/2019 12:00:00 AM,163,Fire
B02,06/01/2019 12:00:00 AM,1310,Non Life-threatening
B02,06/01/2019 12:00:00 AM,3156,Potentially Life-Threatening
B02,06/01/2019 12:00:00 AM,2,
B02,07/01/2019 12:00:00 AM,985,Alarm
B02,07/01/2019 12:00:00 AM,89,Fire
B02,07/01/2019 12:00:00 AM,1304,Non Life-threatening
B02,07/01/2019 12:00:00 AM,2847,Potentially Life-Threatening
B02,08/01/2019 12:00:00 AM,958,Alarm
B02,08/01/2019 12:00:00 AM,127,Fire
B02,08/01/2019 12:00:00 AM,1371,Non Life-threatening
B02,08/01/2019 12:00:00 AM,3177,Potentially Life-Threatening
B02,08/01/2019 12:00:00 AM,2,
B02,09/01/2019 12:00:00 AM,843,Alarm
B02,09/01/2019 12:00:00 AM,77,Fire
B02,09/01/2019 12:00:00 AM,1421,Non Life-threatening
B02,09/01/2019 12:00:00 AM,3209,Potentially Life-Threatening
B02,10/01/2019 12:00:00 AM,1002,Alarm
B02,10/01/2019 12:00:00 AM,117,Fire
B02,10/01/2019 12:00:00 AM,1357,Non Life-threatening
B02,10/01/2019 12:00:00 AM,3355,Potentially Life-Threatening
B02,10/01/2019 12:00:00 AM,9,
B02,11/01/2019 12:00:00 AM,886,Alarm
B02,11/01/2019 12:00:00 AM,92,Fire
B02,11/01/2019 12:00:00 AM,1295,Non Life-threatening
B02,11/01/2019 12:00:00 AM,2913,Potentially Life-Threatening
B02,11/01/2019 12:00:00 AM,9,
B02,12/01/2019 12:00:00 AM,1174,Alarm
B02,12/01/2019 12:00:00 AM,86,Fire
B02,12/01/2019 12:00:00 AM,1393,Non Life-threatening
B02,12/01/2019 12:00:00 AM,3254,Potentially Life-Threatening
B03,01/01/2019 12:00:00 AM,1026,Alarm
B03,01/01/2019 12:00:00 AM,150,Fire
B03,01/01/2019 12:00:00 AM,1049,Non Life-threatening
B03,01/01/2019 12:00:00 AM,2021,Potentially Life-Threatening
B03,02/01/2019 12:00:00 AM,1088,Alarm
B03,02/01/2019 12:00:00 AM,64,Fire
B03,02/01/2019 12:00:00 AM,1216,Non Life-threatening
B03,02/01/2019 12:00:00 AM,2155,Potentially Life-Threatening
B03,02/01/2019 12:00:00 AM,21,
B03,03/01/2019 12:00:00 AM,1013,Alarm
B03,03/01/2019 12:00:00 AM,98,Fire
B03,03/01/2019 12:00:00 AM,1258,Non Life-threatening
B03,03/01/2019 12:00:00 AM,2247,Potentially Life-Threatening
B03,03/01/2019 12:00:00 AM,173,
B03,04/01/2019 12:00:00 AM,873,Alarm
B03,04/01/2019 12:00:00 AM,74,Fire
B03,04/01/2019 12:00:00 AM,1122,Non Life-threatening
B03,04/01/2019 12:00:00 AM,2159,Potentially Life-Threatening
B03,04/01/2019 12:00:00 AM,91,
B03,05/01/2019 12:00:00 AM,904,Alarm
B03,05/01/2019 12:00:00 AM,80,Fire
B03,05/01/2019 12:00:00 AM,1310,Non Life-threatening
B03,05/01/2019 12:00:00 AM,2420,Potentially Life-Threatening
B03,05/01/2019 12:00:00 AM,36,
B03,06/01/2019 12:00:00 AM,934,Alarm
B03,06/01/2019 12:00:00 AM,135,Fire
B03,06/01/2019 12:00:00 AM,1266,Non Life-threatening
B03,06/01/2019 12:00:00 AM,2491,Potentially Life-Threatening
B03,06/01/2019 12:00:00 AM,3,
B03,07/01/2019 12:00:00 AM,867,Alarm
B03,07/01/2019 12:00:00 AM,70,Fire
B03,07/01/2019 12:00:00 AM,1250,Non Life-threatening
B03,07/01/2019 12:00:00 AM,2206,Potentially Life-Threatening
B03,07/01/2019 12:00:00 AM,16,
B03,08/01/2019 12:00:00 AM,983,Alarm
B03,08/01/2019 12:00:00 AM,126,Fire
B03,08/01/2019 12:00:00 AM,1315,Non Life-threatening
B03,08/01/2019 12:00:00 AM,2682,Potentially Life-Threatening
B03,08/01/2019 12:00:00 AM,7,
B03,09/01/2019 12:00:00 AM,1136,Alarm
B03,09/01/2019 12:00:00 AM,159,Fire
B03,09/01/2019 12:00:00 AM,1267,Non Life-threatening
B03,09/01/2019 12:00:00 AM,2492,Potentially Life-Threatening
B03,09/01/2019 12:00:00 AM,4,
B03,10/01/2019 12:00:00 AM,1023,Alarm
B03,10/01/2019 12:00:00 AM,166,Fire
B03,10/01/2019 12:00:00 AM,1231,Non Life-threatening
B03,10/01/2019 12:00:00 AM,2626,Potentially Life-Threatening
B03,11/01/2019 12:00:00 AM,918,Alarm
B03,11/01/2019 12:00:00 AM,89,Fire
B03,11/01/2019 12:00:00 AM,1182,Non Life-threatening
B03,11/01/2019 12:00:00 AM,2581,Potentially Life-Threatening
B03,12/01/2019 12:00:00 AM,1004,Alarm
B03,12/01/2019 12:00:00 AM,99,Fire
B03,12/01/2019 12:00:00 AM,1350,Non Life-threatening
B03,12/01/2019 12:00:00 AM,2700,Potentially Life-Threatening
B03,12/01/2019 12:00:00 AM,4,
B04,01/01/2019 12:00:00 AM,778,Alarm
