Battalion,Station_Area,Incident_Number,Watch_Date,City,Call_Type_Group
B01,01,19,01/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,4,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,6,03/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,33,04/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,9,05/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,25,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,38,07/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,14,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,16,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,19,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,12,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,31,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,166,01/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,186,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,161,03/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,140,04/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,138,05/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,227,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,146,07/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,145,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,145,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,151,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,169,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,02,219,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,57,01/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,45,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,31,03/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,80,04/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,97,05/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,110,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,91,07/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,153,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,96,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,122,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,99,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,03,89,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,279,01/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,272,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,211,03/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,221,04/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,292,05/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,204,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,172,07/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,196,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,320,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,329,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,238,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,13,251,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,147,01/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,177,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,132,03/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,147,04/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,151,05/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,121,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,168,07/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,168,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,174,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,125,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,242,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,28,259,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,2,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,2,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,3,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,4,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,6,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,6,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,35,10,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,146,01/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,101,02/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,122,03/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,109,04/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,123,05/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,133,06/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,107,07/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,154,08/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,116,09/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,104,10/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,106,11/01/2019 12:00:00 AM,San Francisco,Alarm
B01,41,127,12/01/2019 12:00:00 AM,San Francisco,Alarm
B01,01,2,02/01/2019 12:00:00 AM,San Francisco,Fire
B01,01,1,05/01/2019 12:00:00 AM,San Francisco,Fire
B01,01,24,06/01/2019 12:00:00 AM,San Francisco,Fire
B01,01,1,07/01/2019 12:00:00 AM,San Francisco,Fire
B01,01,1,10/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,6,01/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,6,02/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,3,03/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,9,04/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,1,05/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,15,06/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,5,07/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,2,08/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,20,09/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,13,10/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,15,11/01/2019 12:00:00 AM,San Francisco,Fire
B01,02,4,12/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,3,01/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,4,02/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,1,03/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,5,04/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,2,05/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,7,06/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,1,07/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,4,09/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,1,11/01/2019 12:00:00 AM,San Francisco,Fire
B01,03,3,12/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,17,01/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,8,02/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,17,03/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,29,04/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,19,05/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,21,06/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,33,07/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,18,08/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,28,09/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,33,10/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,27,11/01/2019 12:00:00 AM,San Francisco,Fire
B01,13,28,12/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,21,01/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,27,02/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,52,03/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,73,04/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,28,05/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,27,06/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,36,07/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,50,08/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,43,09/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,6,10/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,5,11/01/2019 12:00:00 AM,San Francisco,Fire
B01,28,28,12/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,1,01/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,5,03/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,17,04/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,4,05/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,1,06/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,3,08/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,2,10/01/2019 12:00:00 AM,San Francisco,Fire
B01,41,1,11/01/2019 12:00:00 AM,San Francisco,Fire
B01,01,27,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,29,02/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,36,03/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,28,04/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,33,05/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,28,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,46,07/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,37,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,41,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,33,10/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,24,11/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,31,12/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,155,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,131,02/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,133,03/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,141,04/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,114,05/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,132,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,116,07/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,140,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,128,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,173,10/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,154,11/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,02,174,12/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,48,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,55,02/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,83,03/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,65,04/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,65,05/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,95,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,61,07/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,56,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,53,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,55,10/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,34,11/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,03,73,12/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,199,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,165,02/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,184,03/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,175,04/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,207,05/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,141,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,188,07/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,198,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,209,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,207,10/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,161,11/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,13,239,12/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,16,1,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,16,1,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,21,2,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,113,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,113,02/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,178,03/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,138,04/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,140,05/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,161,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,168,07/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,177,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,172,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,213,10/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,155,11/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,28,158,12/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,35,1,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,35,1,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,38,1,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,77,01/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,61,02/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,56,03/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,71,04/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,65,05/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,66,06/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,78,07/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,66,08/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,56,09/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,73,10/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,69,11/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,41,78,12/01/2019 12:00:00 AM,San Francisco,Non Life-threatening
B01,01,35,01/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,74,02/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,73,03/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,62,04/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,44,05/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,67,06/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,65,07/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,88,08/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,62,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,81,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,80,11/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,110,12/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,166,01/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,267,02/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,260,03/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,194,04/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,211,05/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,225,06/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,230,07/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,186,08/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,244,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,293,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,267,11/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,02,289,12/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,115,01/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,99,02/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,85,03/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,95,04/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,124,05/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,140,06/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,125,07/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,119,08/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,119,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,137,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,128,11/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,03,134,12/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,260,01/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,317,02/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,357,03/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,307,04/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,424,05/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,366,06/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,325,07/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,363,08/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,398,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,354,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,365,11/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,13,448,12/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,21,3,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,287,01/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,212,02/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,313,03/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,250,04/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,319,05/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,283,06/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,274,07/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,272,08/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,271,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,312,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,261,11/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,28,338,12/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,35,8,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,121,01/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,136,02/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,125,03/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,138,04/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,149,05/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,124,06/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,82,07/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,133,08/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,163,09/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,193,10/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,123,11/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,41,159,12/01/2019 12:00:00 AM,San Francisco,Potentially Life-Threatening
B01,01,6,03/01/2019 12:00:00 AM,San Francisco,
B01,01,1,08/01/2019 12:00:00 AM,San Francisco,
B01,02,8,03/01/2019 12:00:00 AM,San Francisco,
B01,02,7,04/01/2019 12:00:00 AM,San Francisco,
B01,02,4,05/01/2019 12:00:00 AM,San Francisco,
B01,02,6,08/01/2019 12:00:00 AM,San Francisco,
B01,02,2,09/01/2019 12:00:00 AM,San Francisco,
B01,02,4,10/01/2019 12:00:00 AM,San Francisco,
B01,03,11,03/01/2019 12:00:00 AM,San Francisco,
B01,13,7,02/01/2019 12:00:00 AM,San Francisco,
B01,13,15,03/01/2019 12:00:00 AM,San Francisco,
B01,13,9,04/01/2019 12:00:00 AM,San Francisco,
B01,13,1,05/01/2019 12:00:00 AM,San Francisco,
B01,13,3,06/01/2019 12:00:00 AM,San Francisco,
B01,13,2,07/01/2019 12:00:00 AM,San Francisco,
B01,13,2,08/01/2019 12:00:00 AM,San Francisco,
B01,13,2,11/01/2019 12:00:00 AM,San Francisco,
B01,28,7,02/01/2019 12:00:00 AM,San Francisco,
B01,28,19,03/01/2019 12:00:00 AM,San Francisco,
B01,28,15,04/01/2019 12:00:00 AM,San Francisco,
B01,28,2,05/01/2019 12:00:00 AM,San Francisco,
B01,28,3,07/01/2019 12:00:00 AM,San Francisco,
B01,28,2,10/01/2019 12:00:00 AM,San Francisco,
B01,28,4,12/01/2019 12:00:00 AM,San Francisco,
B01,41,19,03/01/2019 12:00:00 AM,San Francisco,
B01,41,16,04/01/2019 12:00:00 AM,San Francisco,
B01,41,5,05/01/2019 12:00:00 AM,San Francisco,
B02,01,113,01/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,62,02/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,61,03/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,73,04/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,33,05/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,67,06/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,65,07/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,56,08/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,59,09/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,96,10/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,60,11/01/2019 12:00:00 AM,San Francisco,Alarm
B02,01,172,12/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,203,01/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,229,02/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,170,03/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,213,04/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,196,05/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,171,06/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,221,07/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,206,08/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,145,09/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,157,10/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,178,11/01/2019 12:00:00 AM,San Francisco,Alarm
B02,03,242,12/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,78,01/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,77,02/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,92,03/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,106,04/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,74,05/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,80,06/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,126,07/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,77,08/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,79,09/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,72,10/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,66,11/01/2019 12:00:00 AM,San Francisco,Alarm
B02,05,85,12/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,109,01/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,92,02/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,110,03/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,173,04/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,112,05/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,192,06/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,149,07/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,143,08/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,107,09/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,126,10/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,154,11/01/2019 12:00:00 AM,San Francisco,Alarm
B02,06,145,12/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,105,01/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,84,02/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,82,03/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,111,04/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,93,05/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,120,06/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,79,07/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,103,08/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,112,09/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,162,10/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,104,11/01/2019 12:00:00 AM,San Francisco,Alarm
B02,07,124,12/01/2019 12:00:00 AM,San Francisco,Alarm
B02,09,4,11/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,43,01/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,31,02/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,40,03/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,35,04/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,31,05/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,45,06/01/2019 12:00:00 AM,San Francisco,Alarm
B02,29,31,07/01/2019 12:00:00 AM,San Francisco,Alarm
