Station_Area,Station
1,935 Folsom at 5th Street
2,1340 Powell Street at Broadway
3,1067 Post Street at Polk Street
4,449 Mission Rock at 3rd Street
5,1301 Turk Street at Webster Street
6,135 Sanchez Street at Henry Street
7,2300 Folsom Street at 19th Street
8,36 Bluxome Street at 4th Street
9,2245 Jerrold Avenue at Upton Street
10,655 Presidio Avenue at Bush Street
11,3880 26th Street at Church Street
12,1145 Stanyan Street at Grattan Street
13,530 Sansome Street at Washington Street
14,551 26th Avenue at Geary Boulevard
15,1000 Ocean Avenue at Phelan Avenue
16,2251 Greenwich Street at Fillmore Street
17,1295 Shafter Avenue at Ingalls Street
18,1935 32nd Avenue at Ortega Street
19,390 Buckingham Way at Winston Street
20,285 Olympia Way at Clarendon Avenue
21,1443 Grove Street at Broderick Street
22,1290 16th Avenue at Irving Street
23,1348 45th Avenue at Judah Street
24,100 Hoffman Avenue at Alvarado Street
25,3305 3rd Street at Cargo Way
26,80 Digby Street at Addison Street
28,1814 Stockton Street at Greenwich Street
29,299 Vermont Street at 16th Street
30,441 12th Avenue at Geary Boulevard
31,194 Park Street at Holly Park Circle
32,194 Park Street at Holly Park Circle
33,8 Capitol Avenue at Sagamore Street
34,499 41st Avenue at Geary Boulevard
35,Pier 22½, The Embarcadero at Harrison Street
36,109 Oak Street at Franklin Street
37,798 Wisconsin Street at 22nd Street
38,2150 California Street at Laguna Street
39,1091 Portola Drive at Miraloma Drive
40,2155 18th Avenue at Rivera Street
41,1325 Leavenworth Street at Jackson Street
42,2430 San Bruno Avenue at Silver Avenue
43,720 Moscow Street at France Avenue
44,1298 Girard Street at Wilde Avenue
48,800 Avenue I at 10th Street, Treasure Island
49,1415 Evans Avenue at Mendell Street
51,218 Lincoln Blvd at Keyes Avenue
