calltype	month	hood	avgtime	count
Potentially Life-Threatening	December	Hayes Valley	8.224747475	132
Non Life-threatening	December	Hayes Valley	12.699761905	70
Fire	December	Hayes Valley	8.450980392	17
Alarm	December	Hayes Valley	6.31	90
Potentially Life-Threatening	November	Hayes Valley	7.761111111	150
Non Life-threatening	November	Hayes Valley	10.349751244	67
Fire	November	Hayes Valley	5.279166667	4
Alarm	November	Hayes Valley	4.975	30
Potentially Life-Threatening	October	Hayes Valley	8.478362573	171
Non Life-threatening	October	Hayes Valley	12.866919192	66
Fire	October	Hayes Valley	6.203703704	9
Alarm	October	Hayes Valley	5.007677903	89
Potentially Life-Threatening	September	Hayes Valley	6.893730887	109
Non Life-threatening	September	Hayes Valley	13.883333333	64
Fire	September	Hayes Valley	4.166666667	1
Alarm	September	Hayes Valley	6.158239700	89
Potentially Life-Threatening	August	Hayes Valley	8.040809969	107
Non Life-threatening	August	Hayes Valley	10.5375	52
Fire	August	Hayes Valley	9.747916667	8
Alarm	August	Hayes Valley	6.295289855	46
Potentially Life-Threatening	July	Hayes Valley	8.326	125
Non Life-threatening	July	Hayes Valley	10.889090909	55
Fire	July	Hayes Valley	4.816666667	3
Alarm	July	Hayes Valley	6.087061404	76
Potentially Life-Threatening	June	Hayes Valley	8.733333333	153
Non Life-threatening	June	Hayes Valley	12.151648352	91
Fire	June	Hayes Valley	4.803333333	5
Alarm	June	Hayes Valley	6.208333333	62
Potentially Life-Threatening	May	Hayes Valley	7.802853881	146
Non Life-threatening	May	Hayes Valley	10.500980392	68
Fire	May	Hayes Valley	4.416666667	2
Alarm	May	Hayes Valley	5.453954802	59
Potentially Life-Threatening	April	Hayes Valley	8.2875	140
Non Life-threatening	April	Hayes Valley	11.449074074	72
Fire	April	Hayes Valley	6.55	3
Alarm	April	Hayes Valley	6.760126582	79
Potentially Life-Threatening	March	Hayes Valley	7.740220386	121
Non Life-threatening	March	Hayes Valley	12.081012658	79
Fire	March	Hayes Valley	6.024074074	9
Alarm	March	Hayes Valley	6.560483871	62
Potentially Life-Threatening	February	Hayes Valley	8.257692308	117
Non Life-threatening	February	Hayes Valley	12.125897436	65
Fire	February	Hayes Valley	5.783333333	2
Alarm	February	Hayes Valley	6.104861111	96
Potentially Life-Threatening	January	Hayes Valley	7.139805825	103
Non Life-threatening	January	Hayes Valley	10.301458333	80
Fire	January	Hayes Valley	8.361111111	3
Alarm	January	Hayes Valley	5.330508475	59
Potentially Life-Threatening	December	Mission	10.146057348	186
Non Life-threatening	December	Mission	13.797938144	97
Fire	December	Mission	4.838888889	3
Alarm	December	Mission	7.132936508	42
Potentially Life-Threatening	November	Mission	8.999629630	180
Non Life-threatening	November	Mission	13.143287037	72
Fire	November	Mission	5.255555556	3
Alarm	November	Mission	6.010144928	69
Potentially Life-Threatening	October	Mission	8.149747475	198
Non Life-threatening	October	Mission	14.821505376	93
Fire	October	Mission	7.342857143	7
Alarm	October	Mission	5.148484848	11
Potentially Life-Threatening	September	Mission	8.248148148	189
Non Life-threatening	September	Mission	17.445532646	97
Fire	September	Mission	9.925	4
Alarm	September	Mission	6.152604167	32
Potentially Life-Threatening	August	Mission	7.603823529	170
Non Life-threatening	August	Mission	14.898765432	81
Fire	August	Mission	6.604166667	4
Alarm	August	Mission	7.411818182	55
Potentially Life-Threatening	July	Mission	8.530092593	144
Non Life-threatening	July	Mission	13.359956710	77
Fire	July	Mission	6.046666667	5
Alarm	July	Mission	6.457175926	72
Potentially Life-Threatening	June	Mission	8.606625259	161
Non Life-threatening	June	Mission	13.179166667	60
Fire	June	Mission	5.027777778	3
Alarm	June	Mission	7.414506173	54
Potentially Life-Threatening	May	Mission	7.7	109
Non Life-threatening	May	Mission	15.183966245	79
Fire	May	Mission	7.027777778	3
Alarm	May	Mission	5.959876543	54
Potentially Life-Threatening	April	Mission	8.333900227	147
Non Life-threatening	April	Mission	13.431220657	71
Fire	April	Mission	6.3625	4
Alarm	April	Mission	6.954629630	54
Potentially Life-Threatening	March	Mission	8.002624672	127
Non Life-threatening	March	Mission	13.636041667	80
Fire	March	Mission	6.76875	8
Alarm	March	Mission	5.480630631	37
Potentially Life-Threatening	February	Mission	8.578195489	133
Non Life-threatening	February	Mission	13.847282609	92
Fire	February	Mission	6.1	1
Alarm	February	Mission	6.703431373	34
Potentially Life-Threatening	January	Mission	8.597350993	151
Non Life-threatening	January	Mission	13.879891304	92
Fire	January	Mission	10.391666667	4
Alarm	January	Mission	6.025666667	50
Potentially Life-Threatening	December	South of Market	8.153994490	242
Non Life-threatening	December	South of Market	13.461011905	112
Fire	December	South of Market	4.466666667	2
Alarm	December	South of Market	5.870572917	64
Potentially Life-Threatening	November	South of Market	7.897302905	241
Non Life-threatening	November	South of Market	12.828672316	118
Fire	November	South of Market	6.820833333	4
Alarm	November	South of Market	7.010457516	51
Potentially Life-Threatening	October	South of Market	8.113108614	267
Non Life-threatening	October	South of Market	13.643771044	99
Fire	October	South of Market	6.205128205	13
Alarm	October	South of Market	6.133660131	51
Potentially Life-Threatening	September	South of Market	8.485824437	281
Non Life-threatening	September	South of Market	13.890235690	99
Fire	September	South of Market	7.033333333	1
Alarm	September	South of Market	7.311742424	44
Potentially Life-Threatening	August	South of Market	7.922370089	263
Non Life-threatening	August	South of Market	11.849586777	121
Fire	August	South of Market	4.46	5
Alarm	August	South of Market	5.754166667	52
Potentially Life-Threatening	July	South of Market	8.057079646	226
Non Life-threatening	July	South of Market	12.105504587	109
Fire	July	South of Market	6.983333333	2
Alarm	July	South of Market	6.865	30
Potentially Life-Threatening	June	South of Market	7.915710872	279
Non Life-threatening	June	South of Market	12.241025641	117
Fire	June	South of Market	7.719444444	6
Alarm	June	South of Market	6.130729167	32
Potentially Life-Threatening	May	South of Market	7.742473118	248
